stop_id,stop_name,stop_lat,stop_lon,parent_station
100134,Esquimalt at Sitkum (WB),48.430122,-123.380465,
100135,Quadra at North Park (SB),48.42961,-123.358889,
100136,Metchosin at Cotlow (NB),48.41445253,-123.4833134,
100137,Fairfield at Linden (WB),48.417103,-123.352471,
100138,Richardson at Linden (WB),48.419352,-123.351837,
100139,Richardson at Linden (EB),48.419169,-123.351169,
100141,Fairfield at Linden (EB),48.416731,-123.351845,
100143,Johnson at Cook (EB),48.425821,-123.352734,
100144,Cook at Johnson (NB),48.42622,-123.353298,
100145,Quadra at Caledonia (SB),48.430531,-123.358747,
100146,Douglas at Discovery (NB),48.432172,-123.364472,
100147,Quadra at Caledonia (NB),48.430583,-123.358527,
100148,Esquimalt at Catherine (WB),48.430465,-123.385237,
100149,Tyee at Wilson (SB),48.43102737,-123.3787067,
100150,Pandora at Cook (WB),48.427249,-123.353831,
100151,Wilson 100 block (WB),48.431472,-123.379285,
100152,Bay at Wilson (WB),48.432616,-123.382766,
100153,Fort at Linden (EB),48.422933,-123.350239,
100154,Metchosin at Kenning (SB),48.4139323,-123.4835605,
100155,May at Linden (WB),48.411877,-123.353714,
100156,May at Linden (EB),48.411803,-123.353983,
100157,Swartz Bay Passenger Loop,48.68800142,-123.4121476,
100158,Langford Parkway at Lakepoint Bay F (EB),48.4451035,-123.5335702,
100159,Johnson at Chambers (EB),48.425585,-123.350223,
100160,Cook at Balmoral (NB),48.42872205,-123.3529911,
100161,Esquimalt at Catherine (EB),48.430316,-123.383093,
100162,Fairfield at Cornwall (SB),48.415549,-123.349371,
100163,May at Wellington (EB),48.411541,-123.351547,
100164,Fairfield at Moss (NB),48.415533,-123.349069,
100165,Yates at Ormond (WB),48.424677,-123.348879,
100166,Quadra at Princess (SB),48.432824,-123.358443,
100167,Richardson at Moss (EB),48.418771,-123.347562,
100168,Linden at Faithful (NB),48.409754,-123.353798,
100169,Pandora at Chambers (WB),48.427136,-123.350052,
100170,Bay at Turner (EB),48.434836,-123.375397,
100171,Quadra at Princess (NB),48.433194,-123.358172,
100172,Cook at Caledonia (SB),48.430226,-123.352993,
100173,Wilson at Bay (EB),48.4328,-123.382735,
100174,Richardson at Robleda (WB),48.418862,-123.347114,
100175,Bay at Turner (WB),48.435064,-123.374881,
100176,Wilson at Alston (WB),48.432931,-123.382809,
100177,Douglas at Bay (SB),48.43529,-123.365319,
100178,Douglas at Bay (NB),48.43468167,-123.3647551,
100179,Cook at Caledonia (NB),48.430698,-123.352718,
100180,Bay at Rock Bay (EB),48.435817,-123.36934,
100181,Johnson at Camosun (EB),48.425458,-123.347862,
100182,Tyee at Bay (WB),48.434101,-123.380956,
100183,Bay at Rock Bay (WB),48.435918,-123.368469,
100184,May at Moss (WB),48.411493,-123.350113,
100185,Bay at Douglas (WB),48.435798,-123.365981,
100186,Tyee at Langford (EB),48.434129,-123.38134,
100187,Fort at Fernwood (EB),48.423364,-123.34608,
100188,Wilson at Mary (EB),48.432815,-123.385542,
100189,Wilson at Mary (WB),48.432944,-123.385784,
100190,May at Moss (EB),48.411301,-123.34941,
100191,Yates at Fernwood (WB),48.424601,-123.346261,
100192,Dallas at Wellington (WB),48.407168,-123.353667,
100193,Quadra at Empress (SB),48.435023,-123.358146,
100194,Fernwood at Yates (NB),48.424076,-123.345465,
100195,Douglas at HIllside (SB),48.43867375,-123.3672753,
100196,Cook at Princess (SB),48.432402,-123.352711,
100197,Esquimalt at Maitland (EB),48.430617,-123.389796,
100198,Douglas at Kings (NB),48.437067,-123.366092,
100199,Richardson at Kipling (EB),48.416616,-123.3444,
100200,May at Olive (WB),48.411252,-123.348037,
100201,May at Joseph (EB),48.41113,-123.347839,
100202,Richardson at Kipling (WB),48.416745,-123.344356,
100203,Fernwood at Johnson (NB),48.425761,-123.345349,
100204,Esquimalt at Maitland (WB),48.43084019,-123.3902418,
100205,Fairfield at Kipling (NB),48.413999,-123.34564,
100206,Cook at Princess (NB),48.433018,-123.352439,
100207,Fernwood at Rudlin (SB),48.425849,-123.345522,
100208,Quadra at Bay (NB),48.435571,-123.35798,
100209,Pandora at Fernwood (WB),48.426919,-123.345862,
