shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,stop_id,travel_time
26.1,48.45233649,-123.3790364,129,,
26.1,48.4524144,-123.3783233,130,,
26.1,48.45260487,-123.3766996,131,,
26.1,48.4526602,-123.3762284,132,100535,60
26.1,48.4527458,-123.3754996,133,,
26.1,48.45275805,-123.3754355,134,,
26.1,48.45277373,-123.3753536,135,,
26.1,48.45293405,-123.375018,136,,
26.1,48.45351803,-123.3746953,137,100564,45
26.1,48.45390104,-123.3744837,138,,
26.1,48.45410349,-123.374247,139,,
26.1,48.45423185,-123.3740778,140,,
26.1,48.45424506,-123.3739556,141,,
26.1,48.45481013,-123.3728509,142,,
26.1,48.45518247,-123.3720471,143,,
26.1,48.45538992,-123.371613,144,100600,60
26.1,48.4557757,-123.3708058,145,,
26.1,48.45600526,-123.3703178,146,,
26.1,48.45606865,-123.3701431,147,,
26.1,48.45634035,-123.3693946,148,,
26.1,48.45639761,-123.3693401,149,,
26.1,48.45641634,-123.3691865,150,,
26.1,48.45656565,-123.3693888,151,,
26.1,48.45686398,-123.3696003,152,,
26.1,48.45702711,-123.3694965,153,,
26.1,48.45717558,-123.3694021,154,100645,60
26.1,48.457201,-123.3693856,155,,
26.1,48.4573078,-123.3693164,156,,
26.1,48.4579666,-123.3689354,157,,
26.1,48.45813729,-123.3688596,158,100666,30
26.1,48.458227,-123.3688197,159,,
26.1,48.4588487,-123.368727,160,,
26.1,48.4591108,-123.3687124,161,,
26.1,48.45958849,-123.3687034,162,,
26.1,48.4599506,-123.3687575,163,,
26.1,48.4602983,-123.3688866,164,,
26.1,48.4609551,-123.3690823,165,,
26.1,48.46105111,-123.3691035,166,100724,60
26.1,48.4615417,-123.3692117,167,,
26.1,48.46172409,-123.3691813,168,,
26.1,48.461919,-123.369096,169,,
26.1,48.4619328,-123.36909,170,,
26.1,48.4621522,-123.3689184,171,,
26.1,48.46215969,-123.3689049,172,,
26.1,48.46259839,-123.3681145,173,,
26.1,48.46269969,-123.368017,174,,
26.1,48.46287009,-123.3679441,175,,
26.1,48.46332154,-123.3678767,176,,
26.1,48.46334537,-123.3678731,177,,
26.1,48.4635188,-123.3678472,178,,
26.1,48.46390427,-123.3677009,179,100760,60
26.1,48.46433169,-123.3675386,180,,
26.1,48.46436554,-123.3675301,181,,
26.1,48.46462096,-123.367466,182,,
26.1,48.4648022,-123.3674205,183,,
26.1,48.46490717,-123.3674147,184,,
26.1,48.46495174,-123.3674142,185,,
26.1,48.465169,-123.3674811,186,,
26.1,48.46556343,-123.367926,187,,
26.1,48.46622659,-123.368674,188,,
26.1,48.4663776,-123.3688344,189,,
26.1,48.46645606,-123.3689433,190,100836,60
26.1,48.4668249,-123.369455,191,,
26.1,48.46700741,-123.3696622,192,,
26.1,48.467545,-123.3702724,193,,
26.1,48.46764102,-123.3703278,194,,
26.1,48.46791053,-123.3704832,195,,
26.1,48.46836099,-123.3707429,196,,
26.1,48.4686081,-123.3708885,197,,
26.1,48.4690537,-123.3709817,198,100892,60
26.1,48.4692354,-123.3710197,199,,
26.1,48.46939183,-123.3697547,200,,
26.1,48.46952245,-123.3686983,201,,
26.1,48.46966115,-123.3675765,202,,
26.1,48.46983632,-123.3661595,203,,
26.1,48.4700298,-123.3645943,204,,
26.1,48.47010993,-123.3639168,205,100919,120
26.1,48.47014639,-123.3636085,206,,
26.1,48.47036884,-123.3617273,207,,
26.1,48.47043064,-123.3612051,208,,
26.1,48.47049264,-123.3607335,209,100926,60
26.1,48.47068015,-123.3593072,210,,
26.1,48.47070512,-123.3591173,211,,
26.1,48.47086288,-123.3579172,212,,
26.1,48.47092858,-123.3574173,213,,
26.1,48.47093627,-123.3573588,214,,
26.1,48.470986,-123.3569854,215,,
26.1,48.47102741,-123.3566744,216,,
26.1,48.47108502,-123.3564282,217,,
26.1,48.47139817,-123.3550897,218,,
26.1,48.47150152,-123.3543511,219,100953,90
26.1,48.4715535,-123.3539796,220,,
26.1,48.47170196,-123.3529186,221,,
26.1,48.47174221,-123.3526165,222,,
26.1,48.47171369,-123.3524492,223,,
26.1,48.47187944,-123.3511434,224,,
26.1,48.47194642,-123.3504717,225,100967,45
26.1,48.47207608,-123.3491714,226,,
26.1,48.47212457,-123.3486851,227,,
26.1,48.47209774,-123.3480815,228,,
26.1,48.47189784,-123.3469367,229,,
26.1,48.47188405,-123.3468577,230,,
26.1,48.47180315,-123.3463888,231,100975,60
26.1,48.47161289,-123.345286,232,,
26.1,48.4714004,-123.3446497,233,,
26.1,48.47132115,-123.3445101,234,,
26.1,48.4712008,-123.344298,235,,
26.1,48.47101639,-123.343973,236,,
26.1,48.47093777,-123.3438686,237,100973,30
26.1,48.47090705,-123.3438279,238,,
26.1,48.46990542,-123.3424984,239,,
26.1,48.46980556,-123.3423658,240,100964,30
26.1,48.46891479,-123.3411836,241,,
26.1,48.4687579,-123.3408251,242,,
26.1,48.4686726,-123.3404787,243,,
26.1,48.4686375,-123.3401606,244,,
26.1,48.4686295,-123.3396614,245,,
26.1,48.46862724,-123.3393552,246,100957,45
26.1,48.46862682,-123.3392978,247,,
26.1,48.46859769,-123.3353443,248,,
26.1,48.46859665,-123.3348258,249,100971,60
26.1,48.4685924,-123.3327341,250,,
26.1,48.4685914,-123.3320518,251,100988,45
26.1,48.4685896,-123.33083,252,,
26.1,48.4686262,-123.3307442,253,,
26.1,48.46862512,-123.3302607,254,,
26.1,48.4686216,-123.3287012,255,,
26.1,48.46861658,-123.3280087,256,100999,60
26.1,48.4685917,-123.3245852,257,,
26.1,48.4685926,-123.3244055,258,,
26.1,48.46859791,-123.3237666,259,,
26.1,48.46859917,-123.3236156,260,101020,60
26.1,48.46860424,-123.3230098,261,,
26.1,48.46858795,-123.3211875,262,,
26.1,48.46853299,-123.3210826,263,,
26.1,48.46853164,-123.3209072,264,101037,30
26.1,48.46852983,-123.3206722,265,,
26.1,48.46852011,-123.3195032,266,,
26.1,48.46851994,-123.3186767,267,,
26.1,48.46851915,-123.3184675,268,,
26.1,48.46851847,-123.3175856,269,,
26.1,48.46853139,-123.3169204,270,,
26.1,48.46855124,-123.3160307,271,,
26.1,48.46860145,-123.3158766,272,,
26.1,48.46864105,-123.3150194,273,,
26.1,48.46878477,-123.3133869,274,,
26.1,48.46888579,-123.3122392,275,104105,120
26.1,48.46892601,-123.3117822,276,,
26.1,48.46892364,-123.3114758,277,,
26.1,48.46888895,-123.3111037,278,,
26.1,48.46879441,-123.3107539,279,,
26.1,48.46866216,-123.3104467,280,,
26.1,48.46822858,-123.3096719,281,,
26.1,48.46792607,-123.3091435,282,,
26.1,48.46735476,-123.3081457,283,,
26.1,48.46701309,-123.3077468,284,,
26.1,48.46697831,-123.3077976,285,,
26.1,48.46693309,-123.3078184,286,,
26.1,48.46688077,-123.3078001,287,,
26.1,48.4664234,-123.3083662,288,,
26.1,48.46565295,-123.3093122,289,,
26.1,48.46557722,-123.3092422,290,,
26.1,48.46564985,-123.3091566,291,,
26.1,48.46582413,-123.3089511,292,,
26.1,48.46578784,-123.3088582,293,,
26.1,48.46570663,-123.3087299,294,,
26.1,48.46570923,-123.3086537,295,100871,120
26.2,48.46596233,-123.3082714,0,100889,0
26.2,48.46601653,-123.3082318,1,,
26.2,48.46608425,-123.3081834,2,,
26.2,48.46617639,-123.3082417,3,,
26.2,48.46621988,-123.3083125,4,,
26.2,48.46631449,-123.3083261,5,,
26.2,48.46638976,-123.3082844,6,,
26.2,48.46651809,-123.3081339,7,,
26.2,48.46684158,-123.3077385,8,,
26.2,48.46683801,-123.307668,9,,
26.2,48.4668627,-123.3075941,10,,
26.2,48.46688426,-123.3075602,11,,
26.2,48.46691293,-123.3075497,12,,
26.2,48.46695581,-123.3075657,13,,
26.2,48.46698563,-123.3075951,14,,
26.2,48.467018,-123.307643,15,,
26.2,48.46702165,-123.307705,16,,
26.2,48.46701309,-123.3077468,17,,
26.2,48.46735476,-123.3081457,18,,
26.2,48.46792607,-123.3091435,19,,
26.2,48.46822858,-123.3096719,20,,
26.2,48.46866216,-123.3104467,21,,
26.2,48.46879441,-123.3107539,22,,
26.2,48.46888895,-123.3111037,23,,
26.2,48.46892364,-123.3114758,24,,
26.2,48.46892601,-123.3117822,25,,
26.2,48.46888754,-123.3122193,26,101107,120
26.2,48.46878477,-123.3133869,27,,
26.2,48.46864105,-123.3150194,28,,
26.2,48.46860145,-123.3158766,29,,
26.2,48.46865091,-123.3160493,30,,
26.2,48.46863695,-123.3175991,31,,
26.2,48.46861824,-123.3194612,32,,
26.2,48.46862434,-123.3204157,33,,
26.2,48.46862845,-123.3208884,34,101043,90
26.2,48.46863001,-123.3210677,35,,
26.2,48.46858795,-123.3211875,36,,
26.2,48.46860424,-123.3230098,37,,
26.2,48.46859791,-123.3237666,38,,
26.2,48.4685926,-123.3244055,39,,
26.2,48.4685917,-123.3245852,40,,
26.2,48.46859524,-123.3250713,41,101019,60
