stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name,,,
100075,Richardson at Vancouver (WB),48.419959,-123.357471,100075,0,,Richardson at Vancouver (WB),,,
100076,Douglas at Pandora (NB),48.427709,-123.364449,100076,0,,Douglas at Pandora (NB),,,
100077,Pandora at Government (WB),48.428602,-123.367531,100077,0,,Pandora at Government (WB),,,
100078,Douglas at Beacon (SB),48.411251,-123.368572,100078,0,,Douglas at Beacon (SB),,,
100079,Johnson at Blanshard (EB),48.426724,-123.36125,100079,0,,Johnson at Blanshard (EB),,,
100080,Douglas at Beacon (NB),48.411962,-123.368007,100080,0,,Douglas at Beacon (NB),,,
100082,Douglas at Cormorant (SB),48.428675,-123.364569,100082,0,,Douglas at Cormorant (SB),,,
100084,Pandora at Blanshard (WB),48.427901,-123.36245,100084,0,,Pandora at Blanshard (WB),,,
100085,Quadra at Johnson (NB),48.426144,-123.359061,100085,0,,Quadra at Johnson (NB),,,
100086,Erie at Dallas (WB),48.421579,-123.38329,100086,0,,Erie at Dallas (WB),,,
100089,Oswego at Dallas (NB),48.414503,-123.381661,100089,0,,Oswego at Dallas (NB),,,
100090,Niagara at Douglas (EB),48.410626,-123.368975,100090,0,,Niagara at Douglas (EB),,,
100091,Fairfield at Cook (WB),48.418153,-123.356219,100091,0,,Fairfield at Cook (WB),,,
100092,Fairfield at Cook (EB),48.418,-123.355746,100092,0,,Fairfield at Cook (EB),,,
100093,Johnson at Quadra (EB),48.426459,-123.358604,100093,0,,Johnson at Quadra (EB),,,
100094,Richardson at Cook (WB),48.419737,-123.355444,100094,0,,Richardson at Cook (WB),,,
100095,Cook at Fairfield (SB),48.418249,-123.35539,100095,0,,Cook at Fairfield (SB),,,
100096,Cook at Richardson (SB),48.419423,-123.355122,100096,0,,Cook at Richardson (SB),,,
100097,Esquimalt at Tyee (WB),48.428816,-123.37795,100097,0,,Esquimalt at Tyee (WB),,,
100099,Esquimalt at Tyee (EB),48.428646,-123.377998,100099,0,,Esquimalt at Tyee (EB),,,
100100,Cook at Fairfield (NB),48.41835,-123.355177,100100,0,,Cook at Fairfield (NB),,,
100101,Quadra at Pandora (SB),48.427271,-123.359037,100101,0,,Quadra at Pandora (SB),,,
100102,Cook at Oscar (SB),48.416043,-123.355956,100102,0,,Cook at Oscar (SB),,,
100105,Cook at Richardson (NB),48.419857,-123.354811,100105,0,,Cook at Richardson (NB),,,
100106,Yates at Vancouver (WB),48.425502,-123.357145,100106,0,,Yates at Vancouver (WB),,,
100108,East Sooke at Llanilar (NB),48.3664156,-123.6840487,100108,0,,East Sooke at Llanilar (NB),,,
100109,Richardson at Cook (EB),48.419519,-123.354424,100109,0,,Richardson at Cook (EB),,,
100110,Dallas at Simcoe (SB),48.421117,-123.385517,100110,0,,Dallas at Simcoe (SB),,,
100111,Dallas at Niagara (SB),48.418629,-123.385389,100111,0,,Dallas at Niagara (SB),,,
100112,Cook at Rockland (SB),48.421881,-123.354504,100112,0,,Cook at Rockland (SB),,,
100113,Cook at Southgate (NB),48.416129,-123.355703,100113,0,,Cook at Southgate (NB),,,
100115,Cook at Pandora (SB),48.427357,-123.353345,100115,0,,Cook at Pandora (SB),,,
100116,Dallas at Montreal (SB),48.416631,-123.385076,100116,0,,Dallas at Montreal (SB),,,
100117,Cook at Oxford (SB),48.414002,-123.356878,100117,0,,Cook at Oxford (SB),,,
100118,Quadra at Mason (NB),48.42788247,-123.3588901,100118,0,,Quadra at Mason (NB),,,
100120,Cook at Sutlej (NB),48.414369,-123.356471,100120,0,,Cook at Sutlej (NB),,,
100121,Cook at Rockland (NB),48.422308,-123.354186,100121,0,,Cook at Rockland (NB),,,
100122,Cook at Meares (SB),48.42308,-123.354206,100122,0,,Cook at Meares (SB),,,
100123,Fairfield at Trutch (EB),48.417466,-123.353748,100123,0,,Fairfield at Trutch (EB),,,
100124,Fairfield at Trutch (WB),48.41759,-123.35375,100124,0,,Fairfield at Trutch (WB),,,
100125,Johnson at Vancouver (EB),48.426171,-123.355899,100125,0,,Johnson at Vancouver (EB),,,
100126,Fort at Cook (EB),48.423272,-123.35346,100126,0,,Fort at Cook (EB),,,
100127,Yates at Cook (WB),48.425246,-123.354704,100127,0,,Yates at Cook (WB),,,
